surl,,sname,map_x,map_y,map_info,en_sname,alias,address,pic_url,full_url
sanlitun,三里屯,12964323.02,4829919.03,116.45922800018,39.942632094391,Village,三里屯Village,北起三里屯东三街，南至工体北路,f636afc379310a55eb314935b74543a9832610dd,http://a.hiphotos.baidu.com/lvpics/w%3D300/sign=ca6d7479d43f8794d3ff4e2ee21a0ead/f636afc379310a55eb314935b74543a9832610dd.jpg
wangfujing,王府井,12959685.62,4826257.12,116.41756998046,39.917306047348,null,null,北京市东城区王府井大街,734f12f33ace44930a46e0fa,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=6f22f0a41e178a82ce3c79a0c603737f/734f12f33ace44930a46e0fa.jpg
huanlegu,北京欢乐谷,12968951.18,4819932.62,116.50080301647,39.873543085638,null,欢乐谷,北京市朝阳区东四环小武基北路,570f8c5888d384869d820417,http://b.hiphotos.baidu.com/lvpics/w%3D300/sign=a22885499313b07ebdbd56083cd69113/570f8c5888d384869d820417.jpg
yonghegong,雍和宫,12960353.1,4831541.19,116.42356599008,39.953848057047,The Lama Temple,null,北京市东城区北新桥雍和宫大街12号,96dda144ad345982d84fd4530cf431adcaef842d,http://c.hiphotos.baidu.com/lvpics/w%3D300/sign=bd327f3a0a46f21fc9345853c6266b31/96dda144ad345982d84fd4530cf431adcaef842d.jpg
zhongguokexuejishuguan,中国科学技术馆,12958318.38,4839980.6,116.40528798821,40.01217003935,China Science and Technology Museum,null,北京市朝阳区北辰东路5号,6a21123372dbaba01b4cff5d,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=cc8df343b051f819f125054aeab54a76/6a21123372dbaba01b4cff5d.jpg
beijinghaiyangguan,北京海洋馆,12951842.97,4831263.48,116.34711902338,39.951928041964,null,null,北京海淀区高粱桥斜街乙18号（北京动物园北门内）,c2fdfc039245d68860ae9e14a5c27d1ed31b24d5,http://e.hiphotos.baidu.com/lvpics/w%3D300/sign=bdb2c4d4574e9258a63480eeac83d1d1/c2fdfc039245d68860ae9e14a5c27d1ed31b24d5.jpg
guojiabowuguan,国家博物馆,12958615.25,4825399.37,116.40795478777,39.911372418119,National Museum of China,中国国家博物馆,北京市 东城区东长安街16号,b3508d13a6d2f1d86438db21,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=1c7d5981f2d3572c66e29adcba126352/b3508d13a6d2f1d86438db21.jpg
jingshangongyuan,景山公园,12958075.92,4828386.92,116.40310995667,39.93203705471,null,null,北京市西城区景山西街44号,5beeba0fefffc2b5ab6457f9,http://e.hiphotos.baidu.com/lvpics/w%3D300/sign=268f9f46a8d3fd1f3609a43a004e25ce/5beeba0fefffc2b5ab6457f9.jpg
maozhuxijiniantang,毛主席纪念堂,12958188.43,4825033.46,116.4041206402,39.908841016764,Chairman Mao Zedong Memorial Hall,null,北京市 东城区天安门广场,d002b34b4c5f48a882025c81,http://f.hiphotos.baidu.com/lvpics/w%3D300/sign=1d462280bc3eb13544c7b1bb961fa8cb/d002b34b4c5f48a882025c81.jpg
shuilifang,水立方,12957286.1,4838083.05,116.39601496009,39.999061069576,null,国家游泳中心,北京市朝阳区天辰东路11号?,6391e9034fd89bb408fa9395,http://g.hiphotos.baidu.com/lvpics/w%3D300/sign=731cea4b73f082022d92973f7bfafb8a/6391e9034fd89bb408fa9395.jpg
