surl,,sname
beijing,北京
jiuzhaigou,九寨沟
wuzhen,乌镇
lijiang,丽江
shanghai,上海
xiamen,厦门
hangzhou,杭州
gulangyu,鼓浪屿
xitang,西塘
xian,西安
fenghuang,凤凰
xihu,西湖
chengdu,成都
huangshan,黄山
nanjing,南京
qingdao,青岛
suzhou,苏州
xianggang,香港
sanya,三亚
huashan,华山
tianjin,天津
guangzhou,广州
wuhan,武汉
zhangjiajie,张家界
emeishan,峨眉山
guilin,桂林
chongqing,重庆
dujiangyan,都江堰
dali,大理
dalian,大连
kunming,昆明
laoshan,崂山
haerbin,哈尔滨
taishan,泰山
xianggelila,香格里拉
pingyao,平遥
beidaihe,北戴河
putuoshan,普陀山
lushan,庐山
wuyuan,婺源
qingchengshan,青城山
daligucheng,大理古城
shenzhen,深圳
changsha,长沙
dayangucheng,大研古城
jinan,济南
longmenshiku,龙门石窟
zhouzhuang,周庄
luguhu,泸沽湖
qiandaohu,千岛湖
tongli,同里
aomen,澳门
lasa,拉萨
yangshuo,阳朔
wutaishan,五台山
qinhuangdao,秦皇岛
yangzhou,扬州
hongcun,宏村
zhujiajiao,朱家角
yuelushan,岳麓山
luoyang,洛阳
weizhoudao,涠洲岛
dunhuang,敦煌
chongmingdao,崇明岛
xishuangbanna,西双版纳
wuxi,无锡
sanqingshan,三清山
qinghaihu,青海湖
zhuhai,珠海
beihai,北海
shenyang,沈阳
yalongwan,亚龙湾
shaoxing,绍兴
yantai,烟台
kanasi,喀纳斯
wuyishan,武夷山
huanglong,黄龙
xilingxueshan,西岭雪山
shuanglang,双廊
jiaxing,嘉兴
wuzhizhoudao,蜈支洲岛
hulunbeier,呼伦贝尔
weihai,威海
zhengzhou,郑州
zhoushan,舟山
hengdian,横店
taibei,台北
tengchong,腾冲
baiyangdian,白洋淀
jiuhuashan,九华山
kaifeng,开封
ningbo,宁波
changbaishan,长白山
rizhao,日照
yesanpo,野三坡
yuntaishan,云台山
taiyuan,太原
nanchang,南昌
shapotou,沙坡头
hukoupubu,壶口瀑布
lanzhou,兰州
chakayanhu,茶卡盐湖
guiyang,贵阳
yunnan,云南
fuzhou,福州
daocheng,稻城
meilixueshan,梅里雪山
taian,泰安
danxiashan,丹霞山
haikou,海口
shengsi,嵊泗
songshan,嵩山
penglai,蓬莱
changchun,长春
lianyungang,连云港
nanning,南宁
mohe,漠河
leshan,乐山
yinchuan,银川
zhangbeicaoyuan,张北草原
riyuetan,日月潭
linzhi,林芝
datong,大同
hefei,合肥
changzhou,常州
lvshun,旅顺
xizang,西藏
namucuo,纳木措
taihu,太湖
jingdezhen,景德镇
nandaihe,南戴河
mulanweichang,木兰围场
zhenyuan,镇远
nanaodao,南澳岛
shijiazhuang,石家庄
xining,西宁
luzhi,甪直
wudangshan,武当山
wugongshan,武功山
huhehaote,呼和浩特
yading,亚丁
dandong,丹东
libo,荔波
fengjing,枫泾
zhenjiang,镇江
ruoergai,若尔盖
changjiangsanxia,长江三峡
wulong,武隆
chengde,承德
hengyanghengshan,衡山
jinxi,锦溪
wenzhou,温州
jiujiang,九江
jiayuguan,嘉峪关
longhushan,龙虎山
zhumulangmafeng,珠穆朗玛峰
dongjidao,东极岛
shanhaiguan,山海关
yaluzangbudaxiagu,雅鲁藏布大峡谷
quanzhou,泉州
fuzhougushan,鼓山
baoding,保定
qingyanguzhen,青岩古镇
tanggu,塘沽
shennongjia,神农架
taiwan,台湾
yichang,宜昌
xuzhou,徐州
yueyang,岳阳
rikaze,日喀则
anji,安吉
nanxijiang,楠溪江
yungangshiku,云冈石窟
kangding,康定
yandangshan,雁荡山
taohuadao,桃花岛
foshan,佛山
wulumuqi,乌鲁木齐
jinggangshan,井冈山
shaoshan,韶山
yangzhuoyongcuo,羊卓雍措
xuexiang,雪乡
changdao,长岛
jinhua,金华
jingbohu,镜泊湖
xidi,西递
huludao,葫芦岛
dongaodao,东澳岛
tianzhushan,天柱山
panyu,番禺
huangguoshu,黄果树
dinghushan,鼎湖山
guoliang,郭亮
jiuxiang,九乡
hutiaoxia,虎跳峡
nanxun,南浔
moganshan,莫干山
hailuogou,海螺沟
xizhou,喜洲
hengshan,恒山
hainan,海南
xiqiaoshan,西樵山
shidu,十渡
aba,阿坝
gannan,甘南
enshi,恩施
dayawan,大亚湾
xishan,西山
dongtinghu,洞庭湖
siguniangshan,四姑娘山
baishishan,白石山
xinjiang,新疆
qufu,曲阜
wuhu,芜湖
puzhehei,普者黑
huzhou,湖州
wenchuan,汶川
shandong,山东
baoji,宝鸡
yaan,雅安
hailaer,海拉尔
jiaozuo,焦作
zhaoqing,肇庆
shangrao,上饶
tulufan,吐鲁番
yubeng,雨崩
guangdonghuizhou,惠州
neimenggu,内蒙古
kending,垦丁
meizhoudao,湄洲岛
wanxianshan,万仙山
kekexili,可可西里
zhangye,张掖
qingyuan,清远
zhangzhou,漳州
linyi,临沂
xiangxi,湘西
huangshanshi,黄山市
manzhouli,满洲里
weifang,潍坊
miyun,密云
tangshan,唐山
sichuan,四川
tianshui,天水
mudu,木渎
mudanjiang,牡丹江
xiangyang,襄阳
shaoguan,韶关
yiwu,义乌
baotou,包头
dongguan,东莞
liuan,六安
zhejiang,浙江
zibo,淄博
wulingyuan,武陵源
hengyang,衡阳
zhujiang,珠江
liuzhou,柳州
wusongdao,雾凇岛
xinduqiao,新都桥
anshun,安顺
ejinaqi,额济纳旗
jinzhou,锦州
qinghai,青海
qiandongnan,黔东南
zhejiangtaizhou,台州
shantou,汕头
chongwu,崇武
jixi,绩溪
lishui,丽水
gaoxiong,高雄
hualian,花莲
handan,邯郸
aershan,阿尔山
zhangjiakou,张家口
yili,伊犁
yanan,延安
buerjin,布尔津
xianyang,咸阳
yimengshan,沂蒙山
weinan,渭南
jining,济宁
motuo,墨脱
ruili,瑞丽
diqing,迪庆
dengfeng,登封
yuxi,玉溪
yunnanminzucun,云南民族村
dongjianghu,东江湖
xinxiang,新乡
shaxi,沙溪
nantong,南通
danba,丹巴
helanshan,贺兰山
langzhong,阆中
chifeng,赤峰
nanyang,南阳
zhongshan,中山
panjin,盘锦
huairou,怀柔
ganzhou,赣州
benxi,本溪
luanchuan,栾川
chaozhou,潮州
jigongshan,鸡公山
putian,莆田
hanzhong,汉中
nanjiabawafeng,南迦巴瓦峰
alishan,阿里山
anyang,安阳
xichang,西昌
zhujiajian,朱家尖
jingzhou,荆州
yibin,宜宾
gonggashan,贡嘎山
yanji,延吉
tianshan,天山
kashi,喀什
zhanjiang,湛江
shaanxi,陕西
xidao,西岛
nalaticaoyuan,那拉提草原
yangjiang,阳江
jilinshi,吉林市
henan,河南
hasuhai,哈素海
baojitaibaishan,太白山
longmenguzhen,龙门古镇
shanxi,山西
zhengding,正定
guangdong,广东
geermu,格尔木
langyashan,狼牙山
qiqihaer,齐齐哈尔
eerguna,额尔古纳
nankunshan,南昆山
jiangsu,江苏
zaozhuang,枣庄
qianshan,千山
guangyuan,广元
baidicheng,白帝城
eerduosi,鄂尔多斯
xingcheng,兴城
naqu,那曲
meizhou,梅州
chuzhoulangyashan,琅琊山
taizhou,泰州
fuchunjiang,富春江
hongyuan,红原
guizhou,贵州
jixian,蓟县
suizhong,绥中
fangchenggang,防城港
jinzhong,晋中
anshan,鞍山
xinyang,信阳
jiugongshan,九宫山
yixing,宜兴
yangbajing,羊八井
jinggang,靖港
yanbian,延边
gansu,甘肃
honghe,红河
sanmenxia,三门峡
chenzhou,郴州
tongren,铜仁
kunshan,昆山
linfen,临汾
fanjingshan,梵净山
jiangmen,江门
simianshan,四面山
changde,常德
yingkou,营口
jincheng,晋城
xiapu,霞浦
chuxiong,楚雄
laoting,乐亭
yanqing,延庆
kaili,凯里
quzhou,衢州
pingtan,平潭
anqing,安庆
yichun,伊春
hebei,河北
yancheng,盐城
xianju,仙居
ningboxiangshan,象山
anchang,安昌
nanchong,南充
hubei,湖北
zhuzhou,株洲
jilin,吉林
taining,泰宁
shexian,歙县
ganzi,甘孜
ganzizhou,甘孜州
zunyi,遵义
puer,普洱
liaoningfushun,抚顺
luoping,罗平
tongliao,通辽
jiuquan,酒泉
yingxiu,映秀
fujian,福建
shiyan,十堰
yulin,榆林
guangan,广安
guangxi,广西
changping,昌平
chishui,赤水
hunan,湖南
taizhong,台中
tiantaishan,天台山
daxinganling,大兴安岭
heilongjiang,黑龙江
guangdongheyuan,河源
mianyang,绵阳
longyan,龙岩
shangqiu,商丘
dongying,东营
qiyunshan,齐云山
taishun,泰顺
xingtai,邢台
gongtanguzhen,龚滩古镇
dezhou,德州
linan,临安
changzhi,长治
chizhou,池州
zigong,自贡
furongzhen,芙蓉镇
tangqi,塘栖
anhui,安徽
wolong,卧龙
daweishan,大围山
miaowandao,庙湾岛
deyang,德阳
xiangtan,湘潭
sanhe,三河
yuncheng,运城
huaian,淮安
yingtan,鹰潭
xiandu,仙都
chongzuo,崇左
zhongwei,中卫
danshui,淡水
ali,阿里
kuerle,库尔勒
jiangxi,江西
langfang,廊坊
suichang,遂昌
sanming,三明
wenchang,文昌
sansha,三沙
delingha,德令哈
zhaotong,昭通
hezhou,贺州
chaohu,巢湖
baise,百色
chuzhou,滁州
suining,遂宁
cangzhou,沧州
mentougou,门头沟
longsheng,龙胜
shunde,顺德
liuandabieshan,大别山
shanwei,汕尾
shanxixinzhou,忻州
wulanchabu,乌兰察布
pingxiang,萍乡
xuchang,许昌
meishan,眉山
aletai,阿勒泰
luobubo,罗布泊
qiaodao,淇澳岛
liaocheng,聊城
chibi,赤壁
baoshan,保山
songyuan,松原
qujing,曲靖
wuzhou,梧州
heze,菏泽
xuancheng,宣城
huizhou,徽州
dehong,德宏
pinggu,平谷
ningde,宁德
jinghong,景洪
liaoning,辽宁
tangke,唐克
qianxinan,黔西南
tainan,台南
seda,色达
conghua,从化
heshun,和顺
shaoyang,邵阳
panzhihua,攀枝花
wenshan,文山
luding,泸定
liaoyang,辽阳
qikou,碛口
guangxiyulin,玉林
ninghai,宁海
ningxia,宁夏
xuyi,盱眙
nujiang,怒江
qinling,秦岭
suqian,宿迁
songjiang,松江
xianning,咸宁
huaihua,怀化
qionghai,琼海
binzhou,滨州
jiangjin,江津
changshu,常熟
lvliang,吕梁
liupanshan,六盘山
huangyao,黄姚
maoming,茂名
anhuifuyang,阜阳
xishaqundao,西沙群岛
mapangyongcuo,玛旁雍错
jianshui,建水
daqing,大庆
kanbula,坎布拉
nanping,南平
tongxiang,桐乡
taoyuan,桃园
huangbei,黄陂
panan,磐安
shuozhou,朔州
pingliang,平凉
xikou,溪口
akesu,阿克苏
xianggangjiulong,九龙
fengdu,丰都
jinjiang,晋江
huainan,淮南
jiufen,九份
shannan,山南
jingxi,靖西
