surl,,sname
nujiang,怒江
qinling,秦岭
suqian,宿迁
songjiang,松江
xianning,咸宁
huaihua,怀化
qionghai,琼海
binzhou,滨州
jiangjin,江津
changshu,常熟
lvliang,吕梁
liupanshan,六盘山
huangyao,黄姚
maoming,茂名
anhuifuyang,阜阳
xishaqundao,西沙群岛
mapangyongcuo,玛旁雍错
jianshui,建水
daqing,大庆
kanbula,坎布拉
nanping,南平
tongxiang,桐乡
taoyuan,桃园
huangbei,黄陂
panan,磐安
shuozhou,朔州
pingliang,平凉
xikou,溪口
akesu,阿克苏
xianggangjiulong,九龙
fengdu,丰都
jinjiang,晋江
huainan,淮南
jiufen,九份
shannan,山南
jingxi,靖西
ankang,安康
yining,伊宁
nianbaoyuze,年保玉则
zhujiayu,朱家峪
bengbu,蚌埠
rongcheng,荣成
bayi,八一
yangquan,阳泉
daxing,大兴
jishou,吉首
tagong,塔公
jiangyin,江阴
zhoukou,周口
qinzhou,钦州
lincang,临沧
xilinguole,锡林郭勒
wushan,巫山
baishan,白山
chaji,查济
wanning,万宁
haining,海宁
hongjianggushangcheng,洪江古商城
heihe,黑河
wudalianchi,五大连池
rushan,乳山
jiangxiyichun,宜春
shuiboliangshan,水泊梁山
jiangxijian,吉安
wuhai,乌海
jieyang,揭阳
kelamayi,克拉玛依
hami,哈密
qiantong,前童
wuyi,武义
litang,理塘
lingshuicun,灵水村
loudi,娄底
qiannan,黔南
liupanshui,六盘水
badanjilin,巴丹吉林
puyang,濮阳
xijiang,西江
hengqindao,横琴岛
gaochun,高淳
zhangmu,樟木
tieling,铁岭
zhangjiagang,张家港
hengshui,衡水
liangshan,凉山
hemu,禾木
zhifudao,芝罘岛
luzhou,泸州
quanzhouhuian,惠安
xilingxiakou,西陵峡风景名胜区
fangshan,房山
yiyang,益阳
tongchuan,铜川
wujianghualang,乌江画廊
dongchuan,东川
wuzhishanshi,五指山市
deqin,德钦
taicang,太仓
jiashan,嘉善
songpan,松潘
xilinhaote,锡林浩特
dayi,大邑
habaxueshan,哈巴雪山
jilinbaicheng,白城
kaiping,开平
wuwei,武威
keshiketeng,克什克腾
bayannaoer,巴彦淖尔
dongtouliedao,洞头列岛
menyuan,门源
qingyunshan,青云山
ningxiang,宁乡
bomi,波密
xiahe,夏河
yixiannanping,南屏
xinchang,新昌
hainanlingshui,陵水
dongxing,东兴
maanshan,马鞍山
lulang,鲁朗
yuci,榆次
chengkan,呈坎
suizhou,随州
luohe,漯河
jiamusi,佳木斯
huanggang,黄冈
yilan,宜兰
mangshan,莽山
dazhou,达州
jilong,基隆
chaoyang,朝阳
alashanmeng,阿拉善盟
fuxin,阜新
shizuishan,石嘴山
pamiergaoyuan,帕米尔高原
zhaoxing,肇兴
bama,巴马
zhuji,诸暨
fenghua,奉化
pingdingshan,平顶山
tongmai,通麦
xinyu,新余
zhangzhounanjing,南靖
longnan,陇南
yakeshi,牙克石
jinmen,金门
jinyunshan,缙云山
qionglai,邛崃
yixian,黟县
fuling,涪陵
hebi,鹤壁
weifangqingzhou,青州
huangshi,黄石
wanzhou,万州
yeliu,野柳
jimingdao,鸡鸣岛
shiwei,室韦
tonghua,通化
shangluo,商洛
yuyao,余姚
jian,集安
hanzhongtiantaishan,天台山
xiaogan,孝感
hekou,河口
tongguan,潼关
yushu,玉树
bazhong,巴中
xianggangdao,香港岛
cixi,慈溪
baihabacun,白哈巴村
changji,昌吉
takelamaganshamo,塔克拉玛干沙漠
tongzhou,通州
huishan,惠山
sanxingduibowuguan,三星堆博物馆
yangliucun,杨柳村
wuzhong,吴忠
jiayi,嘉义
tongan,同安
yunfu,云浮
xishiguli,西施故里
kuandian,宽甸
shigu,石鼓
baiyin,白银
chaoyanggou,朝阳沟
changdu,昌都
jiangyou,江油
genhe,根河
yunqiushan,云丘山
dingxi,定西
xingyi,兴义
lvshan,闾山
anhuisuzhou,宿州
yuhang,余杭
haixizhou,海西州
nantou,南投
jiaozhou,胶州
linhai,临海
baojifengxian,凤县
huaibei,淮北
yongding,永定
fuyuan,抚远
mile,弥勒
bijie,毕节
shihezi,石河子
changting,长汀
donghaidao,东海岛
shunyi,顺义
baoting,保亭
liyang,溧阳
xiaguan,下关
donghai,东海
yishui,沂水
xinghua,兴化
hancheng,韩城
wusheng,武胜
guoluo,果洛
youyang,酉阳
shijingshan,石景山
hetian,和田
gongga,贡嘎
sanjiang,三江
taiwanxinbei,新北
xiaoshan,萧山
wanningxinglong,兴隆
jiange,剑阁
boertala,博尔塔拉
yongzhou,永州
haiyang,海阳
xinanjiang,新安江
zhumadian,驻马店
yananqingliangshan,清凉山
qingzangxian,青藏线
taidong,台东
doumen,斗门
ningwu,宁武
loulangucheng,楼兰古城
hunchun,珲春
siping,四平
tiexi,铁溪
pingtian,坪田
ziyang,资阳
wulanhaote,乌兰浩特
shandonglaiwu,莱芜
bozhou,亳州
shishi,石狮
