surl,,sname
anyi,安义
dongfangfodu,东方佛都
danzhou,儋州
fengjie,奉节
dayushandao,大嵛山岛
elunchun,鄂伦春
huayin,华阴
jiaonan,胶南
yinpingshan,银屏山
liannan,连南
lidao,离岛区
yuanmou,元谋
kuche,库车
yuzhufeng,玉珠峰
anxi,安溪
heishui,黑水
yunhe,云和
acheng,阿城
qixian,祁县
xiantao,仙桃
huangyangshan,黄杨山
chikanguzhen,赤坎古镇
weishan,巍山
jiangshan,江山
zhalantun,扎兰屯
dingri,定日
miluo,汨罗
juxian,莒县
mushitagefeng,慕士塔格峰
shouguang,寿光
yanzhou,兖州
yongtai,永泰
zhanghua,彰化
xinzheng,新郑
jinchuan,金川
zuoshui,柞水
lanxi,兰溪
qingtian,青田
laitan,涞滩
zoucheng,邹城
xinluhai,新路海
huozhou,霍州
kezilesukeerkezi,克孜勒苏柯尔克孜
youyu,右玉
qianjiang,潜江
bamei,八美
liping,黎平
dangxiong,当雄
pixian,郫县
lipu,荔浦
macheng,麻城
daxu,大圩
shendu,深渡
huangnan,黄南
ziyuan,资源
hongan,红安
yichuan,宜川
dongyang,东阳
chengmai,澄迈
jiande,建德
lianjiang,连江
qiyueshan,齐岳山
changle,长乐
mengla,勐腊
congjiang,从江
zuogong,左贡
yadong,亚东
zhangshu,樟树
haidongzhou,海东州
yangmei,扬美
chengshilongquan,龙泉
fengyang,凤阳
yajiang,雅江
mozhugongka,墨竹工卡
qiubei,丘北
dehua,德化
sunan,肃南
lugang,鹿港
chatong,茶峒
zhijin,织金
zhangpu,漳浦
honghu,洪湖
yanshan,燕山
chengdexinglong,兴隆
sanshui,三水
shengzhou,嵊州
chuandao,川岛
guangfu,广府
jianchuan,剑川
huize,会泽
weixi,维西
jiayin,嘉荫
zitong,梓潼
shaowu,邵武
yunyang,云阳
chenggu,城固
hezuo,合作
qiongzhong,琼中
qianxian,乾县
tianmen,天门
lancang,澜沧
haicheng,海城
gaotang,高唐
xinji,辛集
longyou,龙游
alashanzuoqi,阿拉善左旗
shandan,山丹
suiping,遂平
dayu,大余
langxi,郎溪
suide,绥德
miaoli,苗栗
wendeng,文登
xiuning,休宁
kaixian,开县
shiping,石屏
yuanling,沅陵
xinfeng,信丰
mangui,满归
dangyang,当阳
jiuzhi,久治
tunbao,屯堡
aertaishan,阿尔泰山
wujiaqu,五家渠
xianyou,仙游
yongan,永安
putuo,普陀
ledong,乐东
huma,呼玛
jiuyishan,九嶷山
taijihucun,太极湖村
qijiang,綦江
jinxiu,金秀
maduo,玛多
lingshi,灵石
hexian,和县
gongbujiangda,工布江达
dingan,定安
chunan,淳安
pingshan,平山
guchazhen,古茶镇
heshan,鹤山
zhenxiong,镇雄
gaomi,高密
lingao,临高
pulan,普兰
sangzhi,桑植
gaizhou,盖州
huangzhong,湟中
jurong,句容
qingzhen,清镇
guoyu,郭峪
daofu,道孚
shilinyizuzizhixian,石林彝族自治县
diebu,迭部
dehonglongchuan,陇川
changyang,长阳
yuping,玉屏
zhaoxian,赵县
zhongning,中宁
xiaolanzhen,小榄镇
yuanyang,元阳
