surl,,sname
zigui,秭归
xufucun,徐福村
luntai,轮台
huangling,黄陵
heyang,合阳
qiandongnanleishan,雷山
zunhua,遵化
guilingongcheng,恭城
hainanbaisha,白沙
changdetaoyuan,桃源
haiyan,海盐
chongqingwansheng,万盛
wenzhouyongjia,永嘉
weihui,卫辉
xunhua,循化
liuku,六库
fuchuangumingcheng,富川古明城
nanan,南安
maqu,玛曲
fuan,福安
guangning,广宁
nandan,南丹
zhangping,漳平
yingjiang,盈江
pengshui,彭水
jiahe,嘉禾
changshatongguan,铜官
pulandian,普兰店
gaojuliwangcheng,高句丽王城
muli,木里
guangrao,广饶
qiqian,奇乾
qitai,奇台
ziyun,紫云
zhouluo,周洛
beizhen,北镇
xinhepu,新河浦
yanguan,盐官
luliang,陆良
luhuo,炉霍
daxin,大新
zhijiang,芷江
yilong,仪陇
cangxi,苍溪
ruzhou,汝州
yongchun,永春
huili,会理
wudi,无棣
chongqingxiushan,秀山
jianou,建瓯
derong,得荣
yizhou,宜州
dege,德格
tantou,滩头
qianxi,迁西
shibing,施秉
dazu,大足
lingwu,灵武
anhua,安化
gongshan,贡山
fuping,阜平
fengkai,封开
chongren,崇仁
pingnan,屏南
hejiang,合江
huangnantongren,同仁
luxi,泸西
weinandali,大荔
manasi,玛纳斯
pingjiang,平江
wenxian,文县
baiji,白际
jingxing,井陉
yuting,渔亭
xinzhou,新洲
xihe,西河
dongshaqundao,东沙群岛
fushun,富顺
lianshan,连山
taihuaizhen,台怀镇
cenxi,岑溪
ruijin,瑞金
xiangcheng,乡城
longhai,龙海
tongdaodongzuzizhixian,通道侗族自治县
jiangcun,江村
alaer,阿拉尔
sandu,三都
xinyuan,新源
yongfu,永福
shayang,沙洋
changbai,长白
bole,博乐
guangfeng,广丰
chayu,察隅
longzhou,龙州
yecheng,叶城
jianyang,建阳
shibaoshan,石宝山
pinghe,平和
jingtai,景泰
tunchang,屯昌
datian,大田
shiqu,石渠
longxing,龙兴
qiongshan,琼山区
jiangyong,江永
chizhouqingyang,青阳
