surl,,sname
huanjiang,环江
shanghang,上杭
tonggu,铜鼓
liuanhuoshan,霍山
yanchi,盐池
shangraoyiyang,弋阳
yunlin,云林
xinbaerhuyouqi,新巴尔虎右旗
haerbinyilan,依兰
sanmentang,三门塘
animaqing,阿尼玛卿
lingui,临桂
ganzizhoujiulong,九龙
shangcai,上蔡
deerbuer,得耳布尔
jimusaer,吉木萨尔
huining,会宁
baiyu,白玉
liye,里耶
daixian,代县
yanjing,盐井
taojiang,桃江
peitian,培田
zhenning,镇宁
chaohuhanshan,含山
hangzhoumeicheng,梅城
haiyuan,海原
xiaochang,孝昌
ruoqiang,若羌
huadian,桦甸
changdeshimen,石门
zhenba,镇巴
anyuan,安源
mangka,莽卡
balangshan,巴朗山
huoqiu,霍邱
xishui,习水
chongqinglukong,路孔
lean,乐安
dushan,独山
jiningsishui,泗水
tonglingdatong,大通
ximeng,西盟
banliang,板梁
changhua,昌化
fujin,富锦
huangshantangkou,汤口
yunlong,云龙
jinzhouyixian,义县
baodingfuping,富平
handanquzhou,曲周
wenshanyanshan,砚山
dawukou,大武口
dongpu,东浦
yunnancangyuan,沧源
liubu,柳埠
huinong,惠农
tieli,铁力
kongcheng,孔城
shaya,沙雅
lukonglukong,路孔古镇
dingxiang,定襄
zhada,札达
yuanping,原平
malipo,麻栗坡
nangqian,囊谦
xiwuzhumuqin,西乌珠穆沁
pujiangxian,浦江县
yunxiuguyoulie,三勤生态园
guiping,桂平
dongwuzhumuqin,东乌珠穆沁
bange,班戈
jinping,金平
taipinggou,太平沟
houxi,后溪
qizongcun,其宗村
fotang,佛堂
wuwangmuyizhi,吴王墓遗址
jiuquananxi,安西
guilinshixiangshanqu,桂林市象山区
pingluo,平罗
suao,苏澳
qimeidao,七美岛
huaan,华安
canshanguojiafengjingqu,参山国家风景区
chengmaifushan,福山
longde,隆德
guanyang,灌阳
chongqinglongtan,龙潭
yongning,永宁
lasanimu,尼木
chongan,重安
changbaishannanpo,长白山南坡
maqin,玛沁
baisicun,白寺村
tumushuke,图木舒克
zhangdu,章渡
baiyinjingyuan,靖远
yongjing,永靖
yaoxian,耀县
minfeng,民丰
xichehe,洗车河
puli,埔里
danzhai,丹寨
leiwuqi,类乌齐
wutai,五台
jiaminghu,嘉明湖
yushe,榆社
shoufo,寿佛
xiangxiang,湘乡
honghexiagu,红河峡谷
tongxin,同心
chongqingningchang,宁厂
wenshui,文水
zhangzha,漳扎
kuizhou,夔州
guyuanjingyuan,泾源
saga,萨嘎
xinlicheng,新立城
lishuiqingyuan,庆元
ganzhouxinshan,欣山
meigu,美姑
daxi,大溪
zhengyang,正阳
yijun,宜君
yanjiacun,严家村
checheng,车埕
duqiao,杜桥
minhou,闽侯
dongye,东冶
tianyang,田阳
gaize,改则
fukang,阜康
jiacha,加查
chengduo,称多
nanhuishuimitaonongjiale,南汇水蜜桃农家乐
jialeshui,佳乐水
chiweiyu,赤尾屿
chongqingwuxi,巫溪
shanyin,山阴
suoxian,索县
langxian,朗县
zaoxi,藻溪
anze,安泽
zhengjiatun,郑家屯
wanding,畹町
guyuanxiji,西吉
fulong,福隆
huitong,会同
shaohaixincheng,少海新城
shishou,石首
funing,抚宁
luoyangwenfengta,文峰塔
nanhe,南河
butuoxian,布拖县
yiyangmeicheng,梅城
dengzhou,登州
naidong,乃东
jiegu,结古
qianyangguzhen,黔阳古城
ningchangningchang,宁厂
xinhe,新河
