surl,,sname
pengyang,彭阳
jiangxiqianshan,江西铅山
yikezhaomeng,伊克昭盟
pinganzhai,平安寨
fengyuan,丰原
xiasi,下司
wenanzhen,问安镇
guangxifozishan,佛子山
babao,八宝
wabacun,瓦巴村
qinbicun,芹壁村
zhuhaijingshangongyuan,珠海景山公园
beibeng,背崩
shangkouzinongyelvyouqu,上口子农业旅游区
xiage,厦格
mengjialing,孟家岭
changba,长坝
madaozhen,马道镇
baogedawulasumu,宝格达乌拉苏木
shanghaibaoguosi,上海报国寺
nanyu,南屿
pinglin,坪林
beitaiwansanjiao,北台湾三角
yuanyanggoulvyouqu,鸳鸯沟旅游区
dapu,大埔
zeku,泽库
dudumen,都督门
layanglayangdao,弹丸礁
luodong,罗东
zhuoni,卓尼
tongrendaxiagu,铜仁大峡谷
longxiahufengjingqu,隆霞湖风景区
bayinamenlvyouqu,巴音阿门旅游区
baotailonglvyoudujiaqu,宝泰隆旅游度假区
shengquanjingqu,圣泉景区
taiyangwan,太阳湾
ninghuangguojilvyouqu,宁皇国际旅游度假区
baxianyan,八仙岩
taiheshanfengjingqu,泰和山风景区
binhefengjingqu,滨河风景区
weijiangjingqu,味江景区
tianehuqinhaiyouleyuan,天鹅湖亲海游乐园
guyuyuan,古榆园
taizhoutianyuanmugejingqu,田园牧歌景区
hudieshengtaicheng,蝴蝶生态城
aobaoheishantou,敖包黑山头
yangchenghubandaolvyoudujiaqu,阳澄湖半岛旅游度假区
chaozhougucheng,潮州古城
tianlongyuan,天龙源
gujingjingqu,古井景区
zhongguomoshigongyuanjingqu,中国墨石公园景区
wafangdian,瓦房店
